formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4254}{22444455}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4255}{22444444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4222}{22445555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4225}{22445522}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4252}{22442255}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4255}{22442222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4244}{22442222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4242}{22442244}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4224}{22444422}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4222}{22444444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2444}{44225555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2445}{44225544}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2454}{44224455}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2455}{44224444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2422}{44225555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2425}{44225522}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2452}{44222255}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2455}{44222222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2444}{44222222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2442}{44222244}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2424}{44224422}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2422}{44224444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2244}{44445555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2245}{44445544}{3333333333333333}}, False, 36, 6
